Label,Total:,With cash rent:,No cash rent
"Allegan County, Michigan",,,
"Bay County, Michigan","10,215","9,696",519
"Berrien County, Michigan","18,278","17,372",906
"Calhoun County, Michigan","14,323","13,777",546
"Clinton County, Michigan",,,
"Eaton County, Michigan",,,
"Genesee County, Michigan","49,128","46,568","2,560"
"Grand Traverse County, Michigan",,,
"Ingham County, Michigan","46,625","45,347","1,278"
"Ionia County, Michigan",,,
"Jackson County, Michigan","15,516","15,144",372
"Kalamazoo County, Michigan","38,481","36,968","1,513"
"Kent County, Michigan","73,557","72,049","1,508"
"Lapeer County, Michigan",,,
"Lenawee County, Michigan",,,
"Livingston County, Michigan",,,
"Macomb County, Michigan","88,566","84,973","3,593"
"Marquette County, Michigan",,,
"Midland County, Michigan","8,737","8,197",540
"Monroe County, Michigan","11,445","10,324","1,121"
"Montcalm County, Michigan",,,
"Muskegon County, Michigan","16,806","15,968",838
"Oakland County, Michigan","142,540","136,780","5,760"
"Ottawa County, Michigan",,,
"Saginaw County, Michigan","22,655","21,196","1,459"
"St. Clair County, Michigan","14,232","13,158","1,074"
"Shiawassee County, Michigan","6,416","5,826",590
"Van Buren County, Michigan","5,493","4,673",820
"Washtenaw County, Michigan","58,704","56,964","1,740"
"Wayne County, Michigan","243,532","230,153","13,379"
