Label,Households
"Alcona County, Michigan",46187
"Alger County, Michigan",48822
"Allegan County, Michigan",70269
"Alpena County, Michigan",44864
"Antrim County, Michigan",60378
"Arenac County, Michigan",48989
"Baraga County, Michigan",45792
"Barry County, Michigan",68779
"Bay County, Michigan",52510
"Benzie County, Michigan",68875
"Berrien County, Michigan",55893
"Branch County, Michigan",56077
"Calhoun County, Michigan",53286
"Cass County, Michigan",60725
"Charlevoix County, Michigan",63508
"Cheboygan County, Michigan",53482
"Chippewa County, Michigan",53079
"Clare County, Michigan",43069
"Clinton County, Michigan",76161
"Crawford County, Michigan",54240
"Delta County, Michigan",51117
"Dickinson County, Michigan",54775
"Eaton County, Michigan",72173
"Emmet County, Michigan",63488
"Genesee County, Michigan",54052
"Gladwin County, Michigan",48279
"Gogebic County, Michigan",41948
"Grand Traverse County, Michigan",69393
"Gratiot County, Michigan",53347
"Hillsdale County, Michigan",54110
"Houghton County, Michigan",48623
"Huron County, Michigan",51924
"Ingham County, Michigan",58226
"Ionia County, Michigan",64436
"Iosco County, Michigan",44334
"Iron County, Michigan",45792
"Isabella County, Michigan",48840
"Jackson County, Michigan",57746
"Kalamazoo County, Michigan",61739
"Kalkaska County, Michigan",50363
"Kent County, Michigan",69786
"Keweenaw County, Michigan",54010
"Lake County, Michigan",40753
"Lapeer County, Michigan",69194
"Leelanau County, Michigan",72709
"Lenawee County, Michigan",60656
"Livingston County, Michigan",88908
"Luce County, Michigan",49667
"Mackinac County, Michigan",52989
"Macomb County, Michigan",67828
"Manistee County, Michigan",54428
"Marquette County, Michigan",57981
"Mason County, Michigan",55035
"Mecosta County, Michigan",48440
"Menominee County, Michigan",52457
"Midland County, Michigan",67642
"Missaukee County, Michigan",50695
"Monroe County, Michigan",68006
"Montcalm County, Michigan",54803
"Montmorency County, Michigan",43913
"Muskegon County, Michigan",57047
"Newaygo County, Michigan",54235
"Oakland County, Michigan",86275
"Oceana County, Michigan",56454
"Ogemaw County, Michigan",44165
"Ontonagon County, Michigan",44605
"Osceola County, Michigan",50722
"Oscoda County, Michigan",45659
"Otsego County, Michigan",59330
"Ottawa County, Michigan",77288
"Presque Isle County, Michigan",52181
"Roscommon County, Michigan",46218
"Saginaw County, Michigan",52749
"St. Clair County, Michigan",62847
"St. Joseph County, Michigan",57080
"Sanilac County, Michigan",52459
"Schoolcraft County, Michigan",54163
"Shiawassee County, Michigan",58004
"Tuscola County, Michigan",55174
"Van Buren County, Michigan",61549
"Washtenaw County, Michigan",79198
"Wayne County, Michigan",52830
"Wexford County, Michigan",54114
 ,
,
