GEO_ID,NAME,S1903_C03_015E
Geography,Geographic Area Name,Estimate!!Median income (dollars)!!FAMILIES!!Families
26001,"Alcona County, Michigan",60489
26003,"Alger County, Michigan",61522
26005,"Allegan County, Michigan",79486
26007,"Alpena County, Michigan",55764
26009,"Antrim County, Michigan",73183
26011,"Arenac County, Michigan",61489
26013,"Baraga County, Michigan",58000
26015,"Barry County, Michigan",85875
26017,"Bay County, Michigan",67449
26019,"Benzie County, Michigan",82780
26021,"Berrien County, Michigan",71964
26023,"Branch County, Michigan",66334
26025,"Calhoun County, Michigan",68504
26027,"Cass County, Michigan",73252
26029,"Charlevoix County, Michigan",78428
26031,"Cheboygan County, Michigan",63237
26033,"Chippewa County, Michigan",68403
26035,"Clare County, Michigan",51789
26037,"Clinton County, Michigan",92900
26039,"Crawford County, Michigan",70427
26041,"Delta County, Michigan",66417
26043,"Dickinson County, Michigan",71301
26045,"Eaton County, Michigan",88267
26047,"Emmet County, Michigan",77646
26049,"Genesee County, Michigan",68647
26051,"Gladwin County, Michigan",60632
26053,"Gogebic County, Michigan",60935
26055,"Grand Traverse County, Michigan",85900
26057,"Gratiot County, Michigan",64550
26059,"Hillsdale County, Michigan",65351
26061,"Houghton County, Michigan",74367
26063,"Huron County, Michigan",66646
26065,"Ingham County, Michigan",82368
26067,"Ionia County, Michigan",72467
26069,"Iosco County, Michigan",55339
26071,"Iron County, Michigan",63399
26073,"Isabella County, Michigan",66815
26075,"Jackson County, Michigan",73242
26077,"Kalamazoo County, Michigan",83847
26079,"Kalkaska County, Michigan",61132
26081,"Kent County, Michigan",86264
26083,"Keweenaw County, Michigan",74688
26085,"Lake County, Michigan",55057
26087,"Lapeer County, Michigan",78537
26089,"Leelanau County, Michigan",88066
26091,"Lenawee County, Michigan",71838
26093,"Livingston County, Michigan",105639
26095,"Luce County, Michigan",64375
26097,"Mackinac County, Michigan",65340
26099,"Macomb County, Michigan",84792
26101,"Manistee County, Michigan",68274
26103,"Marquette County, Michigan",74400
26105,"Mason County, Michigan",69364
26107,"Mecosta County, Michigan",64221
26109,"Menominee County, Michigan",67287
26111,"Midland County, Michigan",84452
26113,"Missaukee County, Michigan",62687
26115,"Monroe County, Michigan",83380
26117,"Montcalm County, Michigan",63410
26119,"Montmorency County, Michigan",56524
26121,"Muskegon County, Michigan",68734
26123,"Newaygo County, Michigan",64765
26125,"Oakland County, Michigan",111738
26127,"Oceana County, Michigan",64344
26129,"Ogemaw County, Michigan",55137
26131,"Ontonagon County, Michigan",57451
26133,"Osceola County, Michigan",60340
26135,"Oscoda County, Michigan",54823
26137,"Otsego County, Michigan",75317
26139,"Ottawa County, Michigan",92679
26141,"Presque Isle County, Michigan",63152
26143,"Roscommon County, Michigan",57740
26145,"Saginaw County, Michigan",66489
26147,"St. Clair County, Michigan",77083
26149,"St. Joseph County, Michigan",67984
26151,"Sanilac County, Michigan",64435
26153,"Schoolcraft County, Michigan",65771
26155,"Shiawassee County, Michigan",73545
26157,"Tuscola County, Michigan",66963
26159,"Van Buren County, Michigan",75031
26161,"Washtenaw County, Michigan",110616
26163,"Wayne County, Michigan",68265
26165,"Wexford County, Michigan",65070
